county_id,all_text
10014,"- 2024年總統大選，台東縣的第一高票由國民黨侯友宜取得，得票率為49.3%，第二高票為民進黨賴清德，得票率為27.4%；第三高票則為民眾黨的柯文哲，得票率為23.3%。 
- 對比過往選舉，包含2020年與2016年，台東縣對於總統候選人的支援一直偏向藍營。換言之，民進黨在台東縣，長期處於下風。
- 2024年立委選舉結果，台東縣選出國民黨的黃建賓。國民黨也領先於政黨票，率先獲得52.2%，接著為民進黨以24.2%，民眾黨則為17%。顯然，台東選民對於國民黨的信任度較高。
- 台東縣的選民樣態偏向年長，39歲以下人口佔比約為13%，低於全國平均。此外，教育程度以大專以上學歷佔比為15.8%，也顯示台東為學歷較低的地區。收入方面，其綜合所得中位數為62.2萬元，相對全國來講偏低。
- 投票當天天氣陰，可能影響選民投票意願，造成台東縣的投票率僅有61.4%，遠低於全國平均，少了11個百分點。"
10015,"- 2024年總統大選結果顯示，花蓮縣選民主要支持國民黨的候選人侯友宜，其得票率為50.5%，優於第二高票的民進黨候選人賴清德和民眾黨候選人柯文哲，得票率分別為24.8%和24.7%。
- 看結果來說，藍營立委候選人傅崐萁在區域立委選舉中勝出，且在政黨票方面，國民黨以52.8%也勝出，其後為民進黨21.4%，民眾黨19.6%。可見該區在總統大選和立委選舉上，藍營力量仍然顯著。
- 歷史選舉情況來看，2020年和2016年的總統大選，該區都是以國民黨候選人拿下最高得票。特別是2020年，國民黨候選人的得票率高達60.4%。
- 然而，回看2024年總統大選結果，國民黨候選人的得票率從60.4%下降到了50.5%，儘管仍為首位，卻發生明顯下滑。這或許說明花蓮縣的選民對於國民黨的支持度有所降低。
- 花蓮縣的社會經濟背景顯示，該地區民眾是較年長和學歷較低的，這或許是影響選舉結果的因素之一。綜合所得中位數為62萬元，較全國低，進一步強化這個影響。
- 投票日當天的天氣情況為陰，該區的投票率為64.9%，低於全國平均，可能天氣因素影響了部分選民出門投票的意願。"
10016,"- 在2024年的總統大選中，該區表現出了強烈的分裂投票傾向，讓民進黨賴清德以38.6%的得票率成為該區第一高票，國民黨侯友宜得票率為36.6%居次，而民眾黨的柯文哲以24.8%的得票率居第三。
- 此一結果與全國趨勢相同，但相較於民進黨在該區的歷史得票率，賴清德的得票率分別較蔡英文於2020年和2016年時下滑了15.2個及12.2個百分點。
- 位於澎湖縣的區域立委楊曜屬於民進黨，然而國民黨以38.4%的得票率在該區政黨票中取得領先，顯示出選民投票行為的分裂。
- 該區年輕人口比例較全國為高，但高學歷人口佔比較全國偏低，綜合所得中位數則較全國為高。
- 雖然1月13日天氣晴朗，但該區投票率為53.7%，明顯低於全國投票率18.7個百分點，顯示出該區可能有待提升的選民參與度。"
10017,"- 在總統大選中，國民黨候選人侯友宜以38.6%得票率領先，而民進黨賴清德與民眾黨柯文哲分別取得34.8%與26.6%的得票率。在立委選舉中，該區選出國民黨候選人林沛祥，且在政黨票部分，國民黨亦獲得39.5%的得票率，領先民進黨的31%，以及民眾黨的22.4%。
- 基隆市歷史選情中，顯示民進黨在2020年與2016年的總統大選有明顯優勢，得票率偏高。
- 基隆市比國內平均擁有較多年長選民，且有高學歷以及較低收入的特性。
- 1月13日投票當日天氣良好，該區投票率70.3%略低於全國平均，且可能與此次選舉的選情變化有所關聯。"
10018,"- 2024年新竹市總統大選和立委選舉結果顯示，民進黨賴清德以34.8%的得票率成為最高票，民眾黨柯文哲居次，以0.5個百分點差距屈居第二，國民黨侯友宜以得票率30.9%排名第三。該區選出的立委為國民黨鄭正鈐，政黨票得票率排名為國民黨31.6％、民進黨30.2%，和民眾黨29.4％。
- 該區自2016年起一向傾向支持民進黨，然而2024年總統大選時的得票率有顯著下降，顯示選民對其支持可能有所動搖。此外，民眾黨在此區的崛起，可能代表著選民對藍綠兩黨的不滿。
- 新竹市立委選舉與總統大選的投票趨向並未一致，顯示出該區存在著分裂投票的現象，選民在選擇總統和立委時，可能基於不同的考量因素。
- 社會經濟背景上，新竹市的年齡結構偏向年長，高學歷人口比率及收入水平皆較全國平均高，這可能影響了選民的政黨與候選人的選擇。
- 選舉當天天氣晴朗且無大雨，可能有助於提升投票率，此次新竹市的投票率為75%，較全國平均值略高。"
10020,"- 在2024年的總統大選中，同全國一樣，嘉義市最高票是民進黨的賴清德，得票率為43.3%，第二高票為國民黨的侯友宜，與第一名相差11.9個百分點至31.4%。此外，新興的民眾黨由柯文哲領軍，取得了25.3%的票數，勢頭不容小覷。
- 歷史選情觀察：這一地區近年來一直偏向支持民進黨，2020年總統大選，民進黨的蔡英文在該區的得票率更高達61.4%，2016年也以59.9%的支持度擊敗其他候選人。
- 對於2024年立委選舉，民進黨在這個區域也有強大的支持度，由王美惠代表出戰取得勝利。在政黨票的選舉部分，民進黨得票率為39.1%，其後為國民黨的32.4%和民眾黨的21.5%。
- 從社會經濟資料來看，嘉義市的人口偏年長，39歲以下人口佔比僅13.2%，大專以上學歷人口佔比達23.3%，顯示出這是高學歷人口佔比偏高的縣市。此外，該地區的綜合所得中位數為67.2萬元，接近全國平均。
- 至於選舉當天的氣候狀況，並無任何不利投票的天氣狀況，投票率達72.9%，超越全國平均投票率約0.5個百分點。"
63000,"- 2024年台北市總統選舉由民進黨賴清德以38.1%的得票率勝出，相同為全國結果；而國民黨侯友宜確實緊迫其後，也獲得38.1%的選票，民眾黨的柯文哲則以23.8%的得票率居於第三位。
- 歷史選情觀察，該區一直以來對民進黨有高度的支持度，在2020年與2016年的總統大選中，民進黨的蔡英文都以分別53.6%和52%的得票率拔得頭籌。
- 然而，2024年的立委選舉結果則顯示了該區的選民對政黨的支持有分裂的情形。雖然國民黨在區域立委取得四席，民進黨則獲得三席，然而在政黨票部分，國民黨以37.5%領先，民進黨則以33.4%居次，顯示選民對於黨派的選擇並非單線性的。
- 同時值得注意的是，民眾黨在該區的得票率高達21.8%。可能與該地黨魁柯文哲的影響力有關，未來需要密切觀察該黨在台北市的發展。
- 社會經濟背景方面，台北市屬於較年老且高學歷的地區，其中39歲以下與大專以上學歷的人口佔全體的11.8%與28.2%，所得申報總額中位數為79.1萬元。"
64000,"- 在2024年總統大選中，該區民進黨的賴清德以48.9%的得票率進行領先，而國民黨的侯友宜為第二高票，得票率為29.2%，兩者之間的差距為19.7個百分點。
- 在過去兩屆總統大選中，該區選民對於民進黨均有較高支持度，2020年及2016年，民進黨總統候選人蔡英文分別以62.2%和63.4%的得票率獲得該區選民的認同。
- 第三勢力民眾黨的柯文哲在2024年總統大選中獲得21.9%的得票率，相較於傳統的兩大黨，展現了其在選民中的影響力。
- 2024年立委選舉中，該區選出的區域立委皆屬於民進黨，對民進黨的支持度顯然較高。同時在政黨票方面，民進黨也以44.9%的得票率領先，其次是國民黨的30.6%，民眾黨則以17.5%的得票率在該區排名第三。
- 在社會經濟背景上，該區的39歲以下人口佔比約為13.1%，相比全國是一個年齡結構較為年長的區域。該區具有大專以上學歷的人口佔比約為21.5%，高於全國平均，顯示在該區的學歷比例較高。綜合所得中位數為67.6萬元，與全國相當接近。
- 在投票率與天氣方面，2024年選舉日該區為晴天，投票率為71.2%，低於全國平均投票率（72.4%）1.2個百分點。"
65000,"- 在2024年的台灣總統大選中，新北市的選情與全國傾向相符，綠營候選人賴清德以38.6%的得票率獲得該區最高票，高於藍營候選人侯友宜的35.2%以3.4百分點領先；新興的民眾黨創黨人柯文哲則以26.2%的得票率獲得第三高票。 
- 若以歷史選舉結果來看，新北市選民對於綠營的支持明顯減少，2020與2016年該綠營得票率分別為56.5%與54.8%，而其政黨票在這次選舉中同樣呈現下滑的趨勢。
- 在2024年的立委選舉中，新北市共選出六位綠營和六位藍營的區域立委，而在政黨票方面卻呈現藍營領先的情況，得票率為35.1%，緊接著是綠營的34.8%、民眾黨的22.9%。
- 在社會經濟背景部分，新北市特別以具有大專以上學歷人口佔比約為22.4％與綜合所得中位數為68.1萬元這兩點脫穎而出，顯示在新北市有大量的年輕高學歷與高收入人口，且與全國比較，新北市在39歲以下人口的比例和收入都較高。
- 最後，在2024年的選舉當天，新北市的投票率達73.1%，比全國投票率高出0.7個百分點，顯示投票意識較全國平均為強，可能和該區的年輕、高學歷與收入較高的人口結構有關。"
66000,"- 在2024年的總統大選中，台中市的選民主要支持民進黨的賴清德，得票率達37.6%，領先藍營的侯友宜5.2個百分點，並接續2020年和2016年的選舉結果，該區依然顯現出對綠營的支持。
- 該年的立委選舉中，國民黨在台中市取得了6席立委，民進黨則取得2席，且在政黨票方面，國民黨以34.2%領先。
- 總統與立委選舉的結果顯現出台中市人民對於國民黨和民進黨可能有分裂的投票傾向。
- 從社會經濟數據來看，台中市的選民年齡以39歲以下為主，且大專以上學歷人口佔比約為22.1%，可視為學歷偏高的縣市。
- 投票率達74.3%，比全國投票率高出1.9個百分點，晴天的天氣可能有助於提高投票率。"
67000,"- 在2024年的總統大選中，該區由民進黨賴清德以51%的得票率獲勝，超越國民黨侯友宜的25.6%和民眾黨柯文哲的23.4%。
- 這項結果延續了該區自2016年以來對民進黨的支持，2016年與2020年總統選擇，蔡英文均以超過67%的得票率在該區取勝。
- 來看2024年立委選舉結果，該區選出的6位區域立委全由民進黨候選人贏得。對於政黨票方面，民進黨也以46%領先，國民黨及民眾黨分別拿下26.8%與19.4%。
- 從社會經濟背景來看，該區39歲以下的年輕人口佔比約為13.2%，比全國平均還要低，顯示該區為較年長的縣市。該區的高學歷人口比例偏高，達21.2%，綜合所得中位數為67.5萬元，與全國平均相若。
- 投票當天的天氣晴朗，投票率為71.8%，僅低於全國平均投票率0.6個百分點。"
68000,"- 根據2024年總統大選結果，該區的選情與全國結果相同，最高票為民進黨的賴清德，得票率為35.3%，跟隨其後的是國民黨侯友宜與民眾黨柯文哲，前二者相差1.2個百分點。 - 轉向立委選舉，國民黨取得該區所有席次而且在政黨票上也領先，展現出其在地區內的深厚影響力。然而，與總統選舉的投票結果相比，可見該區選民有明顯的分裂投票傾向。
- 回顧歷史選情，該區在過去兩屆總統大選中，均以民進黨為首選，這次的狀況則與以往有所不同。可見該區選民的政黨偏好正在發生微妙變化。特別值得注意的是，民眾黨的柯文哲在本次選舉中票數不低，得票率30.6%，可見其在該區有相當高的支持度。
- 社會經濟背景方面，該區的核心選民體系可能是年輕且高學歷的人群，加上所得中位數為71.3萬元，遠高於全國平均，顯示該區為一經濟繁榮及教育程度優秀的區域。這些因素可能對該區選情有所影響。
- 最後對於投票率與天氣的關係，1月13日選舉日天氣晴朗，該區投票率73.1%，比全國投票率高出0.7個百分點。"
